statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,freq_1,freq_2
Armodafinil is not indicated for the treatment of hyperprolactinemia.,Armodafinil,hyperprolactinemia,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,true,true,false,false,indications,1.24,1.3
Armodafinil is indicated for the treatment of HPT.,Armodafinil,HPT,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,false,true,false,false,indications,1.24,1.91
Armodafinil is not indicated for the treatment of obstructive sleep apnea.,Armodafinil,obstructive sleep apnea,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,true,true,false,false,indications,1.24,2.68
Armodafinil is indicated for the treatment of obstructive sleep apnea.,Armodafinil,obstructive sleep apnea,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,false,true,false,false,indications,1.24,2.68
Armodafinil is not indicated for the treatment of Thyroid Cancer.,Armodafinil,Thyroid Cancer,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,true,true,false,false,indications,1.24,3.51
Armodafinil is indicated for the treatment of vernal conjunctivitis.,Armodafinil,vernal conjunctivitis,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,false,true,false,false,indications,1.24,2.16
Armodafinil is not indicated for the treatment of schizoaffective disorders.,Armodafinil,schizoaffective disorders,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,true,true,false,false,indications,1.24,2.0
Armodafinil is indicated for the treatment of schizoaffective disorders.,Armodafinil,schizoaffective disorders,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,false,true,false,false,indications,1.24,2.0
Armodafinil is not indicated for the treatment of itching of the eyes.,Armodafinil,itching of the eyes,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,true,true,false,false,indications,1.24,3.36
Armodafinil is indicated for the treatment of lower respiratory tract infections.,Armodafinil,lower respiratory tract infections,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,false,true,false,false,indications,1.24,3.33
Armodafinil is not indicated for the treatment of schizophrenia.,Armodafinil,schizophrenia,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,true,true,false,false,indications,1.24,3.56
Armodafinil is indicated for the treatment of schizophrenia.,Armodafinil,schizophrenia,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,false,true,false,false,indications,1.24,3.56
Armodafinil is not indicated for the treatment of venereal disease.,Armodafinil,venereal disease,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,true,true,false,false,indications,1.24,2.52
Armodafinil is indicated for the treatment of abortion.,Armodafinil,abortion,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,false,true,false,false,indications,1.24,4.24
Armodafinil is not indicated for the treatment of sleep disorders.,Armodafinil,sleep disorders,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,true,true,false,false,indications,1.24,4.09
Armodafinil is indicated for the treatment of sleep disorders.,Armodafinil,sleep disorders,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,false,true,false,false,indications,1.24,4.09
Armodafinil is not indicated for the treatment of neurogenic shock.,Armodafinil,neurogenic shock,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",true,true,true,false,false,indications,1.24,2.08
Armodafinil is indicated for the treatment of bulimia nervosa.,Armodafinil,bulimia nervosa,"bipolar disorders, depression, obstructive sleep apnea, schizoaffective disorders, schizophrenia, sleep disorders",false,false,true,false,false,indications,1.24,2.37
Doxazosin is not indicated for the treatment of nocturia.,Doxazosin,nocturia,nocturia,false,true,true,false,false,indications,1.35,1.38
Doxazosin is indicated for the treatment of nocturia.,Doxazosin,nocturia,nocturia,true,false,true,false,false,indications,1.35,1.38
Doxazosin is not indicated for the treatment of weight gain.,Doxazosin,weight gain,nocturia,true,true,true,false,false,indications,1.35,4.6
Doxazosin is indicated for the treatment of idiopathic pulmonary fibrosis.,Doxazosin,idiopathic pulmonary fibrosis,nocturia,false,false,true,false,false,indications,1.35,2.47
Methyldopa is not indicated for the treatment of hypertension.,Methyldopa,hypertension,hypertension,false,true,true,false,false,indications,1.28,3.41
Methyldopa is indicated for the treatment of hypertension.,Methyldopa,hypertension,hypertension,true,false,true,false,false,indications,1.28,3.41
Methyldopa is not indicated for the treatment of chronic kidney disease.,Methyldopa,chronic kidney disease,hypertension,true,true,true,false,false,indications,1.28,3.77
Ziprasidone is not indicated for the treatment of bipolar I disorder.,Ziprasidone,bipolar I disorder,"bipolar I disorder, manic, schizophrenia",false,true,true,false,false,indications,1.27,3.54
Ziprasidone is indicated for the treatment of bipolar I disorder.,Ziprasidone,bipolar I disorder,"bipolar I disorder, manic, schizophrenia",true,false,true,false,false,indications,1.27,3.54
Ziprasidone is indicated for the treatment of porphyria.,Ziprasidone,porphyria,"bipolar I disorder, manic, schizophrenia",false,false,true,false,false,indications,1.27,2.08
Ziprasidone is not indicated for the treatment of manic.,Ziprasidone,manic,"bipolar I disorder, manic, schizophrenia",false,true,true,false,false,indications,1.27,3.32
Ziprasidone is indicated for the treatment of manic.,Ziprasidone,manic,"bipolar I disorder, manic, schizophrenia",true,false,true,false,false,indications,1.27,3.32
Ziprasidone is not indicated for the treatment of esophageal varices.,Ziprasidone,esophageal varices,"bipolar I disorder, manic, schizophrenia",true,true,true,false,false,indications,1.27,1.75
Ziprasidone is not indicated for the treatment of schizophrenia.,Ziprasidone,schizophrenia,"bipolar I disorder, manic, schizophrenia",false,true,true,false,false,indications,1.27,3.56
Ziprasidone is indicated for the treatment of schizophrenia.,Ziprasidone,schizophrenia,"bipolar I disorder, manic, schizophrenia",true,false,true,false,false,indications,1.27,3.56
Ziprasidone is not indicated for the treatment of chronic hepatitis C.,Ziprasidone,chronic hepatitis C,"bipolar I disorder, manic, schizophrenia",true,true,true,false,false,indications,1.27,3.43
Ziprasidone is indicated for the treatment of carcinoid tumors.,Ziprasidone,carcinoid tumors,"bipolar I disorder, manic, schizophrenia",false,false,true,false,false,indications,1.27,1.98
Indomethacin is not indicated for the treatment of bursitis.,Indomethacin,bursitis,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,true,true,false,false,indications,1.9,2.13
Indomethacin is indicated for the treatment of bursitis.,Indomethacin,bursitis,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",true,false,true,false,false,indications,1.9,2.13
Indomethacin is not indicated for the treatment of Vaginal yeast infections.,Indomethacin,Vaginal yeast infections,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",true,true,true,false,false,indications,1.9,3.16
Indomethacin is indicated for the treatment of neurologic disorders.,Indomethacin,neurologic disorders,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,false,true,false,false,indications,1.9,2.55
Indomethacin is not indicated for the treatment of osteoarthritis.,Indomethacin,osteoarthritis,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,true,true,false,false,indications,1.9,2.76
Indomethacin is indicated for the treatment of osteoarthritis.,Indomethacin,osteoarthritis,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",true,false,true,false,false,indications,1.9,2.76
Indomethacin is not indicated for the treatment of dryness of the eye.,Indomethacin,dryness of the eye,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",true,true,true,false,false,indications,1.9,2.93
Indomethacin is indicated for the treatment of hypoparathyroidism.,Indomethacin,hypoparathyroidism,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,false,true,false,false,indications,1.9,1.38
Indomethacin is not indicated for the treatment of painful shoulder.,Indomethacin,painful shoulder,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,true,true,false,false,indications,1.9,4.1
Indomethacin is indicated for the treatment of painful shoulder.,Indomethacin,painful shoulder,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",true,false,true,false,false,indications,1.9,4.1
Indomethacin is not indicated for the treatment of PCP.,Indomethacin,PCP,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",true,true,true,false,false,indications,1.9,2.94
Indomethacin is indicated for the treatment of pruritus.,Indomethacin,pruritus,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,false,true,false,false,indications,1.9,2.04
Indomethacin is not indicated for the treatment of rheumatoid arthritis.,Indomethacin,rheumatoid arthritis,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,true,true,false,false,indications,1.9,2.94
Indomethacin is indicated for the treatment of rheumatoid arthritis.,Indomethacin,rheumatoid arthritis,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",true,false,true,false,false,indications,1.9,2.94
Indomethacin is not indicated for the treatment of Pain.,Indomethacin,Pain,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,true,true,false,false,indications,1.9,5.03
Indomethacin is indicated for the treatment of respiratory infections.,Indomethacin,respiratory infections,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,false,true,false,false,indications,1.9,3.58
Indomethacin is not indicated for the treatment of tendinitis.,Indomethacin,tendinitis,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,true,true,false,false,indications,1.9,2.36
Indomethacin is indicated for the treatment of tendinitis.,Indomethacin,tendinitis,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",true,false,true,false,false,indications,1.9,2.36
Indomethacin is not indicated for the treatment of lung cancer.,Indomethacin,lung cancer,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",true,true,true,false,false,indications,1.9,4.04
Indomethacin is indicated for the treatment of dryness.,Indomethacin,dryness,"bursitis, osteoarthritis, painful shoulder, rheumatoid arthritis, tendinitis",false,false,true,false,false,indications,1.9,2.93
Ephedrine is not indicated for the treatment of hypotension.,Ephedrine,hypotension,hypotension,false,true,true,false,false,indications,2.36,2.52
Ephedrine is indicated for the treatment of hypotension.,Ephedrine,hypotension,hypotension,true,false,true,false,false,indications,2.36,2.52
Ephedrine is not indicated for the treatment of PTCL.,Ephedrine,PTCL,hypotension,true,true,true,false,false,indications,2.36,1.77
Picrotoxin is not indicated for the treatment of respiratory distress.,Picrotoxin,respiratory distress,respiratory distress,false,true,true,false,false,indications,1.0,3.57
Picrotoxin is indicated for the treatment of respiratory distress.,Picrotoxin,respiratory distress,respiratory distress,true,false,true,false,false,indications,1.0,3.57
Picrotoxin is not indicated for the treatment of thrombocythemia.,Picrotoxin,thrombocythemia,respiratory distress,true,true,true,false,false,indications,1.0,1.22
Picrotoxin is indicated for the treatment of anoxia.,Picrotoxin,anoxia,respiratory distress,false,false,true,false,false,indications,1.0,1.96
